identifier,matching_objects,image_thumb,image_small,object-type,title,"creator (Lastname, Firstname; Lastname, Firstname)","recipient (Lastname, Firstname; Lastname, Firstname)",date (yyyy-mm-dd or yyyy-mm or yyyy),"date is approximate? (yes, or blank)",description (1-3 sentences),"subject (subject1; subject2)
in most cases, aim for 3 or more subjects, but less is okay
controlled vocab lookup: https://www.getty.edu/research/tools/vocabularies/aat/","associated names (Lastname, Firstname; Lastname, Firstname)","location 1 (City, State)","latitude / longitude 1 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","location 2 (City, State)","latitude / longitude 2 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","doc length x width l""xw""",cabinet,drawer,box,bag,"type (biface, projectile point, etc.)",material,material source,length (mm),width (mm),thickness (mm),weight (g),count,source,"original format (i.e. letter, newspaper clipping, artifact, etc.)",type,"language
code lookup: http://www.loc.gov/standards/iso639-2/php/code_list.php",rights (before 1926 = no copyright; after 1926 or not sure = in copyright),student initials,"publish? (no, or blank)","GGOI? (yes, or blank"
CE_B19_F2-Item229,CE_B19_F2-Item229.pdf,thumbs/ce_b19_f2-item229_th.jpg,small/ce_b19_f2-item229_sm.jpg,pdf,Medical notes,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical notes,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item23,CE_B19_F2-Item23.pdf,thumbs/ce_b19_f2-item23_th.jpg,small/ce_b19_f2-item23_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1978-08-23,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item230,CE_B19_F2-Item230.pdf,thumbs/ce_b19_f2-item230_th.jpg,small/ce_b19_f2-item230_sm.jpg,pdf,Explanation of Payment,N/A,N/A,1977-11-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item231,CE_B19_F2-Item231.pdf,thumbs/ce_b19_f2-item231_th.jpg,small/ce_b19_f2-item231_sm.jpg,pdf,Explanation of Payment,N/A,N/A,1977-11-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item232,CE_B19_F2-Item232.pdf,thumbs/ce_b19_f2-item232_th.jpg,small/ce_b19_f2-item232_sm.jpg,pdf,Explanation of Payment,N/A,N/A,1977-11-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item233,CE_B19_F2-Item233.pdf,thumbs/ce_b19_f2-item233_th.jpg,small/ce_b19_f2-item233_sm.jpg,pdf,Letter from Donald Crabtree to Aetna Life and Casualty,"Crabtree, Donald ""Don"" E.",Aetna Life and Casualty,1977-11-03,,"Typewritten letter from Donald Crabtree to Aetna Life and Casualty recording EOBs, itemized bills, and claim forms.",Typewritten; medical,,N/A,N/A,"Salt Lake City, Utah","40.76196247026785, -111.87380163131897",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item234,CE_B19_F2-Item234.pdf,thumbs/ce_b19_f2-item234_th.jpg,small/ce_b19_f2-item234_sm.jpg,pdf,Letter from Aetna Life and Casualty to Donald Crabtree,Aetna Life and Casualty,"Crabtree, Donald ""Don"" E.",N/A,N/A,Typewritten letter from Aetna Life and Casualty to Donald Crabtree regarding coverage on a recent claim.,Typewritten; medical,,"Hartford, Connecticut","41.7656821330471, -72.6697878167673",N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item235,CE_B19_F2-Item235.pdf,thumbs/ce_b19_f2-item235_th.jpg,small/ce_b19_f2-item235_sm.jpg,pdf,Medication record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item236,CE_B19_F2-Item236.pdf,thumbs/ce_b19_f2-item236_th.jpg,small/ce_b19_f2-item236_sm.jpg,pdf,Health Insurance Claim Form,N/A,N/A,1977-09-26,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item237,CE_B19_F2-Item237.pdf,thumbs/ce_b19_f2-item237_th.jpg,small/ce_b19_f2-item237_sm.jpg,pdf,Receipt,N/A,N/A,1977-04-27,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item238,CE_B19_F2-Item238.pdf,thumbs/ce_b19_f2-item238_th.jpg,small/ce_b19_f2-item238_sm.jpg,pdf,Medical bill,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item239,CE_B19_F2-Item239.pdf,thumbs/ce_b19_f2-item239_th.jpg,small/ce_b19_f2-item239_sm.jpg,pdf,Health Insurance Claim Form,N/A,N/A,1977-09-26,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item24,CE_B19_F2-Item24.pdf,thumbs/ce_b19_f2-item24_th.jpg,small/ce_b19_f2-item24_sm.jpg,pdf,Anesthesiologist Account Statement,N/A,N/A,1978-07-21,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item240,CE_B19_F2-Item240.pdf,thumbs/ce_b19_f2-item240_th.jpg,small/ce_b19_f2-item240_sm.jpg,pdf,Medicare Benefits Record,N/A,N/A,1977-10-14,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Benefits record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item241,CE_B19_F2-Item241.pdf,thumbs/ce_b19_f2-item241_th.jpg,small/ce_b19_f2-item241_sm.jpg,pdf,Reserve Life Insurance Company Benefit Coverage check,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Coverage check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item242,CE_B19_F2-Item242.pdf,thumbs/ce_b19_f2-item242_th.jpg,small/ce_b19_f2-item242_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1977-09-02,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item243,CE_B19_F2-Item243.pdf,thumbs/ce_b19_f2-item243_th.jpg,small/ce_b19_f2-item243_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1977-08-12,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item244,CE_B19_F2-Item244.pdf,thumbs/ce_b19_f2-item244_th.jpg,small/ce_b19_f2-item244_sm.jpg,pdf,Explanation of Benefits,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item245,CE_B19_F2-Item245.pdf,thumbs/ce_b19_f2-item245_th.jpg,small/ce_b19_f2-item245_sm.jpg,pdf,Reserve Life Insurance Company Benefit Coverage check,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Coverage check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item246,CE_B19_F2-Item246.pdf,thumbs/ce_b19_f2-item246_th.jpg,small/ce_b19_f2-item246_sm.jpg,pdf,Check,N/A,N/A,1977-10-21,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item247,CE_B19_F2-Item247.pdf,thumbs/ce_b19_f2-item247_th.jpg,small/ce_b19_f2-item247_sm.jpg,pdf,Receipt,N/A,N/A,1977-11-18,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item248,CE_B19_F2-Item248.pdf,thumbs/ce_b19_f2-item248_th.jpg,small/ce_b19_f2-item248_sm.jpg,pdf,Receipt,N/A,N/A,1977-10-21,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item249,CE_B19_F2-Item249.pdf,thumbs/ce_b19_f2-item249_th.jpg,small/ce_b19_f2-item249_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1977-09-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item25,CE_B19_F2-Item25.pdf,thumbs/ce_b19_f2-item25_th.jpg,small/ce_b19_f2-item25_sm.jpg,pdf,Receipt,N/A,N/A,1978-08-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item250,CE_B19_F2-Item250.pdf,thumbs/ce_b19_f2-item250_th.jpg,small/ce_b19_f2-item250_sm.jpg,pdf,Medicare Payment Information,N/A,N/A,1977-08-26,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item251,CE_B19_F2-Item251.pdf,thumbs/ce_b19_f2-item251_th.jpg,small/ce_b19_f2-item251_sm.jpg,pdf,Medicare Benefits Record,N/A,N/A,1977-09-16,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Benefits record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item252,CE_B19_F2-Item252.pdf,thumbs/ce_b19_f2-item252_th.jpg,small/ce_b19_f2-item252_sm.jpg,pdf,Health Insurance Claim Form,N/A,N/A,1977-10-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item253,CE_B19_F2-Item253.pdf,thumbs/ce_b19_f2-item253_th.jpg,small/ce_b19_f2-item253_sm.jpg,pdf,Receipt,N/A,N/A,1977-11-18,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item254,CE_B19_F2-Item254.pdf,thumbs/ce_b19_f2-item254_th.jpg,small/ce_b19_f2-item254_sm.jpg,pdf,Magic Valley Medical Group Account Statement,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item255,CE_B19_F2-Item255.pdf,thumbs/ce_b19_f2-item255_th.jpg,small/ce_b19_f2-item255_sm.jpg,pdf,Health Insurance Claim Form,N/A,N/A,1977-09-26,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item256,CE_B19_F2-Item256.pdf,thumbs/ce_b19_f2-item256_th.jpg,small/ce_b19_f2-item256_sm.jpg,pdf,Check,N/A,N/A,1977-11-01,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item257,CE_B19_F2-Item257.pdf,thumbs/ce_b19_f2-item257_th.jpg,small/ce_b19_f2-item257_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1977-10-11,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item258,CE_B19_F2-Item258.pdf,thumbs/ce_b19_f2-item258_th.jpg,small/ce_b19_f2-item258_sm.jpg,pdf,Receipt,N/A,N/A,1977-11-18,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item259,CE_B19_F2-Item259.pdf,thumbs/ce_b19_f2-item259_th.jpg,small/ce_b19_f2-item259_sm.jpg,pdf,Receipt,N/A,N/A,1977-11-18,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item26,CE_B19_F2-Item26.pdf,thumbs/ce_b19_f2-item26_th.jpg,small/ce_b19_f2-item26_sm.jpg,pdf,Receipt,N/A,N/A,1978-09-25,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item260,CE_B19_F2-Item260.pdf,thumbs/ce_b19_f2-item260_th.jpg,small/ce_b19_f2-item260_sm.jpg,pdf,Medical Center Laboratory Account Statement,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item261,CE_B19_F2-Item261.pdf,thumbs/ce_b19_f2-item261_th.jpg,small/ce_b19_f2-item261_sm.jpg,pdf,Medical Center Laboratory Account Statement,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item262,CE_B19_F2-Item262.pdf,thumbs/ce_b19_f2-item262_th.jpg,small/ce_b19_f2-item262_sm.jpg,pdf,Check,N/A,N/A,1977-05-01,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Check,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item263,CE_B19_F2-Item263.pdf,thumbs/ce_b19_f2-item263_th.jpg,small/ce_b19_f2-item263_sm.jpg,pdf,Medicare Payment Information,N/A,N/A,1977-09-29,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item264,CE_B19_F2-Item264.pdf,thumbs/ce_b19_f2-item264_th.jpg,small/ce_b19_f2-item264_sm.jpg,pdf,Receipt,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item265,CE_B19_F2-Item265.pdf,thumbs/ce_b19_f2-item265_th.jpg,small/ce_b19_f2-item265_sm.jpg,pdf,Medication record,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item266,CE_B19_F2-Item266.pdf,thumbs/ce_b19_f2-item266_th.jpg,small/ce_b19_f2-item266_sm.jpg,pdf,Medication record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item27,CE_B19_F2-Item27.pdf,thumbs/ce_b19_f2-item27_th.jpg,small/ce_b19_f2-item27_sm.jpg,pdf,Anesthesiologist Account Statement,N/A,N/A,1978-07-21,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item28,CE_B19_F2-Item28.pdf,thumbs/ce_b19_f2-item28_th.jpg,small/ce_b19_f2-item28_sm.jpg,pdf,Request for Medicare Payment Form,N/A,N/A,1978-07-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item29,CE_B19_F2-Item29.pdf,thumbs/ce_b19_f2-item29_th.jpg,small/ce_b19_f2-item29_sm.jpg,pdf,Letter from Judy Haymes to Donald Crabtree,"Haymes, Judy","Crabtree, Donald ""Don"" E.",1978-09-07,,Typewritten letter from Judy Haymes with The Equitable LIfe Assurance Society of the United States to Donald Crabtree regarding a refund for medical claims.,Typewritten; medical,,"Boise, Idaho","43.61464173252067, -116.20094709852786","Kimberly, Idaho","42.5335805982885, -114.36483156147125",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item3,CE_B19_F2-Item3.pdf,thumbs/ce_b19_f2-item3_th.jpg,small/ce_b19_f2-item3_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1978-09-23,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item30,CE_B19_F2-Item30.pdf,thumbs/ce_b19_f2-item30_th.jpg,small/ce_b19_f2-item30_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1978-08-11,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item31,CE_B19_F2-Item31.pdf,thumbs/ce_b19_f2-item31_th.jpg,small/ce_b19_f2-item31_sm.jpg,pdf,Magic Valley Radiology Associates Account Statement,N/A,N/A,1978-08-02,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item32,CE_B19_F2-Item32.pdf,thumbs/ce_b19_f2-item32_th.jpg,small/ce_b19_f2-item32_sm.jpg,pdf,Receipt,N/A,N/A,1978-08-23,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item33,CE_B19_F2-Item33.pdf,thumbs/ce_b19_f2-item33_th.jpg,small/ce_b19_f2-item33_sm.jpg,pdf,Magic Valley Radiology Associates Account Statement,N/A,N/A,1978-08-02,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item34,CE_B19_F2-Item34.pdf,thumbs/ce_b19_f2-item34_th.jpg,small/ce_b19_f2-item34_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1978-08-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item35,CE_B19_F2-Item35.pdf,thumbs/ce_b19_f2-item35_th.jpg,small/ce_b19_f2-item35_sm.jpg,pdf,Payment record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item36,CE_B19_F2-Item36.pdf,thumbs/ce_b19_f2-item36_th.jpg,small/ce_b19_f2-item36_sm.jpg,pdf,Payment record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item37,CE_B19_F2-Item37.pdf,thumbs/ce_b19_f2-item37_th.jpg,small/ce_b19_f2-item37_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1978-09-09,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item38,CE_B19_F2-Item38.pdf,thumbs/ce_b19_f2-item38_th.jpg,small/ce_b19_f2-item38_sm.jpg,pdf,Record of Part B Medicare Benefits Used,N/A,N/A,1978-08-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item39,CE_B19_F2-Item39.pdf,thumbs/ce_b19_f2-item39_th.jpg,small/ce_b19_f2-item39_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1978-08-14,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item4,CE_B19_F2-Item4.pdf,thumbs/ce_b19_f2-item4_th.jpg,small/ce_b19_f2-item4_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1978-10-14,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
